%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209436, 2023/05/2 20:29:15.52)
1 25 6.251844e+00 1.005824e+00 -4.137392161714191693e+96 -4.137392161714191693e+96 -3.761542209922899659e+80  7.725866585508223588e+96
2 49 6.207036e+00 1.007256e+00 -7.011581950477495177e+96 -7.011581950477495177e+96  4.587766923731216176e+89  1.542548029105048920e+97
3 73 6.164280e+00 1.008606e+00 -7.015948651447948903e+96 -7.015948651447948903e+96  5.533798242322107846e+88  1.542548699097426224e+97
4 97 6.123571e+00 1.010339e+00 -7.015948651447948903e+96 -7.011754891751070933e+96  1.903437614989003262e+90  8.640067589263788856e+96
5 121 6.084718e+00 1.011658e+00 -1.402318960395551255e+97 -1.402318960395551255e+97  3.651635159631789299e+95  1.542553688292109651e+97
6 145 6.047601e+00 1.015081e+00 -2.103560466732111753e+97 -2.103560466732111753e+97  1.214317729499542661e+93  1.143971962618191744e+97
7 169 6.012046e+00 1.014490e+00 -2.103560466732111753e+97 -1.468985583312186221e+97 -9.744366903642815818e+95  1.612664336570231616e+97
8 193 5.978154e+00 1.017684e+00 -2.169306982361294139e+97 -2.169306982361294139e+97 -2.395129863775744316e+96  3.926485913492862767e+97
9 217 5.945103e+00 1.018656e+00 -2.593832870362809624e+97 -2.593832870362809624e+97 -2.906698604238430061e+96  2.383940269799869608e+97
10 241 5.913439e+00 1.019305e+00 -2.738545231825289179e+97 -2.738545231825289179e+97  7.463546717935587727e+95  1.612670930892269047e+97
11 265 5.882979e+00 1.019862e+00 -2.738545231825289179e+97 -2.418454091091015114e+97 -5.491822949429554006e+96  2.526687779556319396e+97
12 289 5.853662e+00 1.021771e+00 -3.434861168947027494e+97 -3.434861168947027494e+97 -8.878057872935721776e+96  1.748631495780151263e+97
13 313 5.825558e+00 1.022976e+00 -4.074843354111618579e+97 -4.074843354111618579e+97  7.197025019523565645e+95  3.589459385631822437e+97
14 337 5.798484e+00 1.022979e+00 -5.721719568642648731e+97 -5.721719568642648731e+97 -1.113544995034927890e+97  1.087966183439999987e+97
15 361 5.772351e+00 1.023431e+00 -5.721719568642648731e+97 -4.104632173236993351e+97 -1.305508529926209332e+97  1.787293424727838404e+97
16 385 5.747138e+00 1.023157e+00 -5.721719568642648731e+97 -4.837990186229653770e+97 -1.895394950143183006e+97  2.994679364879772573e+97
17 409 5.723009e+00 1.023230e+00 -6.904106164476276253e+97 -6.904106164476276253e+97 -2.086464328691462279e+97  1.783561813334208193e+97
18 433 5.699820e+00 1.022304e+00 -1.084592159825154169e+98 -1.084592159825154169e+98 -3.781810021922009073e+97  9.807935079412386554e+96
19 457 5.677278e+00 1.023594e+00 -1.084592159825154169e+98 -9.625153960294541443e+97 -3.921429362031101777e+97  2.512934164788354545e+97
